,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gra_x,gra_y,gra_z,att_yaw,att_pitch,att_roll,labelrunning,labelexercising,labeljogging,labelsitting
2018-06-13 18:34:32.297164032,-0.0016954,0.0010056000000000002,0.00034059999999999993,0.0008849999999999999,-0.001921,0.0054659999999999995,30.470223999999998,4.7830224,-14.9470518,0.7325068,0.045194599999999994,-0.6792574,-0.33543459999999997,-0.045209999999999986,0.8230985999999999,0,0,0,1
2018-06-13 18:34:33.297164032,-0.00011640000000000005,-0.0013517999999999998,-0.0003126,0.0011623999999999998,-0.0031875999999999996,0.006780800000000001,30.551202399999998,4.913645400000001,-14.989209399999998,0.7326052,0.0453902,-0.6791381999999999,-0.3361792,-0.0454058,0.8232533999999999,0,0,0,1
2018-06-13 18:34:34.297164032,-0.0004336,0.0013088000000000002,0.0027282000000000005,0.0008302,-0.003268,0.006293999999999999,30.4062716,4.874358999999999,-15.044885199999998,0.7335480000000001,0.0449244,-0.6781507999999999,-0.33476100000000003,-0.0449398,0.8246195999999999,0,0,0,1
2018-06-13 18:34:35.297164032,9.559999999999999e-05,-0.0022182,-0.00014,0.0017834,-0.0026158,0.006907399999999999,30.466616800000004,4.821232599999999,-14.8808532,0.7339802000000001,0.044596,-0.6777050000000001,-0.33415259999999997,-0.044610599999999986,0.8252406000000001,0,0,0,1
2018-06-13 18:34:36.297164032,0.0008230000000000003,-0.003121,-0.0006662000000000001,0.0026226,-0.0020050000000000003,0.006873399999999999,30.598910399999998,4.919600600000001,-14.897528,0.7328722000000001,0.0444854,-0.6789098000000001,-0.33470199999999994,-0.0445002,0.8236026000000001,0,0,0,1
2018-06-13 18:34:37.297164032,0.0009588,-0.001794,-0.0009064,0.0028566,-0.0026000000000000003,0.0082392,30.292813,5.0825698,-14.8824768,0.7318174,0.0446198,-0.6800379999999999,-0.3360962,-0.0446346,0.8220563999999999,0,0,0,1
2018-06-13 18:34:38.297164032,-0.00070875,-0.002248,0.001801,0.00383525,-0.00183425,0.00847875,30.2964135,4.8549445,-14.89116675,0.73205025,0.044188500000000006,-0.6798157499999999,-0.3350915,-0.04420325,0.8223782500000001,0,0,0,1
2018-06-13 18:34:39.297164032,-0.00012599999999999995,-0.0015854,-0.0010414,0.0031038,-0.0020576,0.008063800000000001,30.2890412,4.883752199999999,-15.061444,0.7307798000000001,0.0443764,-0.6811688,-0.3353756,-0.0443908,0.8205201999999999,0,0,0,1
2018-06-13 18:34:40.297164032,-0.0002934,0.0014242000000000002,2.9999999999999645e-06,0.003004,-0.0017532,0.0083066,30.3051088,4.912479599999998,-15.132062,0.7298906,0.0441298,-0.6821378000000001,-0.33638179999999995,-0.0441444,0.8192036,0,0,0,1
2018-06-13 18:34:41.297164032,-0.000828,-0.0006586000000000001,0.0013241999999999998,0.0033216,-0.0007436000000000001,0.009084,30.537835600000005,4.8316490000000005,-15.1246092,0.7302172,0.043737000000000005,-0.6818135999999999,-0.33616119999999994,-0.043750800000000006,0.8196640000000001,0,0,0,1
