,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,speed
1500,1.52891252353294e+18,1,0,0,0,2.108542437908497
1510,1.528912523734512e+18,1,0,0,0,2.1118588954248367
1520,1.5289125239360837e+18,1,0,0,0,2.1151753529411765
1530,1.5289125241376556e+18,1,0,0,0,2.1184918104575163
1540,1.5289125243392274e+18,1,0,0,0,2.1218082679738566
1550,1.5289125245407992e+18,1,0,0,0,2.1251247254901964
1560,1.528912524742371e+18,1,0,0,0,2.128441183006536
1570,1.528912524943943e+18,1,0,0,0,2.131757640522876
1580,1.5289125251455148e+18,1,0,0,0,2.1350740980392158
1590,1.5289125253470866e+18,1,0,0,0,2.1383905555555556
1600,1.5289125255486584e+18,1,0,0,0,2.141707013071896
1610,1.5289125257502305e+18,1,0,0,0,2.1450234705882356
1620,1.528912525951802e+18,1,0,0,0,2.1483399281045754
1630,1.528912526153374e+18,1,0,0,0,2.151656385620915
1640,1.5289125263549458e+18,1,0,0,0,2.154972843137255
1650,1.5289125265565176e+18,1,0,0,0,2.158289300653595
1660,1.5289125267580897e+18,1,0,0,0,2.1616057581699346
1670,1.5289125269596613e+18,1,0,0,0,2.164922215686275
1680,1.5289125271612332e+18,1,0,0,0,2.1682386732026147
1690,1.528912527362805e+18,1,0,0,0,2.1715551307189545
1700,1.5289125275643768e+18,1,0,0,0,2.1748715882352943
1710,1.528912527765949e+18,1,0,0,0,2.178188045751634
1720,1.5289125279675205e+18,1,0,0,0,2.181504503267974
1730,1.5289125281690924e+18,1,0,0,0,2.184820960784314
1740,1.5289125283706642e+18,1,0,0,0,2.188137418300654
1750,1.528912528572236e+18,1,0,0,0,2.1914538758169937
1760,1.528912528773808e+18,1,0,0,0,2.1947703333333335
1770,1.5289125289753797e+18,1,0,0,0,2.1980867908496733
1780,1.5289125291769516e+18,1,0,0,0,2.201403248366013
1790,1.5289125293785234e+18,1,0,0,0,2.2047197058823533
1800,1.5289125295800952e+18,1,0,0,0,2.208036163398693
1810,1.528912529781667e+18,1,0,0,0,2.211352620915033
1820,1.528912529983239e+18,1,0,0,0,2.2146690784313727
1830,1.5289125301848108e+18,1,0,0,0,2.2179855359477125
1840,1.5289125303863826e+18,1,0,0,0,2.2213019934640523
1850,1.5289125305879544e+18,1,0,0,0,2.224618450980392
1860,1.5289125307895265e+18,1,0,0,0,2.2279349084967324
1870,1.528912530991098e+18,1,0,0,0,2.231251366013072
1880,1.52891253119267e+18,1,0,0,0,2.234567823529412
1890,1.5289125313942418e+18,1,0,0,0,2.2378842810457518
1900,1.5289125315958136e+18,1,0,0,0,2.2412007385620916
