,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,x,y,z
1380,1.528912521114078e+18,1,0,0,0,0.313692,0.949523,0.001544
1390,1.5289125213156498e+18,1,0,0,0,0.21277100000000002,0.9574959999999999,-0.19475399999999998
1400,1.5289125215172216e+18,1,0,0,0,0.18074400000000002,0.983334,-0.019659
1410,1.5289125217187937e+18,1,0,0,0,-0.17193699999999998,0.9768209999999999,0.12750799999999998
1420,1.5289125219203653e+18,1,0,0,0,0.268208,0.9615030000000001,-0.05980700000000001
1430,1.5289125221219372e+18,1,0,0,0,0.162209,0.9529790000000001,-0.255968
1440,1.528912522323509e+18,1,0,0,0,0.149335,0.9854649999999999,0.080969
1450,1.5289125225250808e+18,1,0,0,0,-0.164416,0.9815379999999999,0.097714
1460,1.528912522726653e+18,1,0,0,0,0.294864,0.953667,-0.059765
1470,1.5289125229282245e+18,1,0,0,0,0.079011,0.976725,-0.199414
1480,1.5289125231297964e+18,1,0,0,0,0.050079000000000005,0.9777,0.203948
1490,1.5289125233313682e+18,1,0,0,0,-0.14188699999999999,0.986034,0.087203
1500,1.52891252353294e+18,1,0,0,0,0.381819,0.914241,-0.13556400000000002
1510,1.528912523734512e+18,1,0,0,0,0.157656,0.975692,-0.15221800000000002
1520,1.5289125239360837e+18,1,0,0,0,-0.037619,0.9706600000000001,0.23749499999999998
1530,1.5289125241376556e+18,1,0,0,0,-0.122107,0.992182,0.025769999999999998
1540,1.5289125243392274e+18,1,0,0,0,0.285525,0.940234,-0.185565
1550,1.5289125245407992e+18,1,0,0,0,0.24024299999999998,0.9631700000000001,-0.120778
1560,1.528912524742371e+18,1,0,0,0,-0.12888,0.9635610000000001,0.23439400000000002
1570,1.528912524943943e+18,1,0,0,0,0.223063,0.9606530000000001,-0.165497
1580,1.5289125251455148e+18,1,0,0,0,0.22534899999999997,0.9218129999999999,-0.315402
1590,1.5289125253470866e+18,1,0,0,0,0.309157,0.9428700000000001,-0.124168
1600,1.5289125255486584e+18,1,0,0,0,-0.14732,0.9745659999999999,0.16887
1610,1.5289125257502305e+18,1,0,0,0,0.277305,0.956418,-0.091459
1620,1.528912525951802e+18,1,0,0,0,0.168346,0.937853,-0.30346300000000004
1630,1.528912526153374e+18,1,0,0,0,0.209391,0.9749049999999999,-0.075603
1640,1.5289125263549458e+18,1,0,0,0,-0.18061300000000002,0.973123,0.142868
1650,1.5289125265565176e+18,1,0,0,0,0.35021399999999997,0.92589,-0.141693
1660,1.5289125267580897e+18,1,0,0,0,0.068935,0.9602700000000001,-0.270425
1670,1.5289125269596613e+18,1,0,0,0,0.138987,0.9884229999999999,-0.060851
1680,1.5289125271612332e+18,1,0,0,0,-0.215504,0.968995,0.120853
1690,1.528912527362805e+18,1,0,0,0,0.372864,0.9218940000000001,-0.105275
1700,1.5289125275643768e+18,1,0,0,0,0.099614,0.9691850000000001,-0.225294
1710,1.528912527765949e+18,1,0,0,0,0.058998,0.983959,0.168352
1720,1.5289125279675205e+18,1,0,0,0,-0.134116,0.9860680000000001,0.098406
