,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,x,y,z
33790,1.5289131744084114e+18,1,0,0,0,1.515631,2.5705075,2.5953815000000002
33800,1.5289131746099832e+18,1,0,0,0,0.445499,3.27245,-0.442563
33810,1.528913174811555e+18,1,0,0,0,-0.175071,-0.06252,-1.010553
33820,1.528913175013127e+18,1,0,0,0,-0.476627,-0.35785700000000004,1.8088400000000002
33830,1.5289131752146988e+18,1,0,0,0,1.38501,-2.134489,-0.23191399999999998
33840,1.5289131754162706e+18,1,0,0,0,1.958746,0.2835540000000001,0.254024
33850,1.5289131756178424e+18,1,0,0,0,2.532482,2.701597,0.739962
33860,1.5289131758194145e+18,1,0,0,0,0.5089100000000001,-2.5942819999999998,0.265696
33870,1.528913176020986e+18,1,0,0,0,-0.455096,4.332587,1.222683
33880,1.528913176222558e+18,1,0,0,0,-1.093253,1.197172,-2.310279
33890,1.5289131764241298e+18,1,0,0,0,-1.1063325000000002,-0.3057255000000001,-1.622901
33900,1.5289131766257016e+18,1,0,0,0,-1.119412,-1.8086229999999999,-0.935523
33910,1.5289131768272737e+18,1,0,0,0,-0.659432,4.239315,1.33669
33920,1.5289131770288453e+18,1,0,0,0,0.46721999999999997,-0.002984,-0.593367
33930,1.5289131772304172e+18,1,0,0,0,-0.332304,0.657467,1.817325
33940,1.528913177431989e+18,1,0,0,0,0.6678930000000001,-1.3265049999999998,-1.030549
33950,1.5289131776335608e+18,1,0,0,0,-2.197793,-2.834991,-2.498625
33960,1.528913177835133e+18,1,0,0,0,1.4474120000000001,2.103944,-0.015026
33970,1.5289131780367045e+18,1,0,0,0,1.583053,-3.111555,0.42838699999999996
33980,1.5289131782382764e+18,1,0,0,0,-0.319162,4.090304,1.564571
33990,1.5289131784398482e+18,1,0,0,0,-1.365348,0.4799,-2.39907
34000,1.52891317864142e+18,1,0,0,0,2.256639,-1.800256,2.274915
34010,1.528913178842992e+18,1,0,0,0,-0.7347239999999999,-2.239449,-1.144196
34020,1.5289131790445637e+18,1,0,0,0,-0.474261,3.4124879999999997,0.643137
34030,1.5289131792461356e+18,1,0,0,0,0.010472,-0.985561,-1.221492
34040,1.5289131794477074e+18,1,0,0,0,0.07281499999999999,2.892038,2.300966
34050,1.5289131796492792e+18,1,0,0,0,3.550355,-0.873439,-1.002474
34060,1.528913179850851e+18,1,0,0,0,-1.8818740000000005,-2.473599,-3.100472
34070,1.528913180052423e+18,1,0,0,0,1.7294,2.493492,-0.062801
34080,1.5289131802539948e+18,1,0,0,0,1.904566,-3.240446,0.495018
34090,1.5289131804555666e+18,1,0,0,0,-0.590564,1.081719,1.357812
34100,1.5289131806571384e+18,1,0,0,0,-1.111386,-4.66385,-3.607196
34110,1.5289131808587105e+18,1,0,0,0,2.428841,-0.312262,2.135991
34120,1.528913181060282e+18,1,0,0,0,-1.285463,-1.363896,-1.092775
34130,1.528913181261854e+18,1,0,0,0,-1.6861259999999998,2.922247,1.666693
34140,1.5289131814634258e+18,1,0,0,0,-0.41130500000000003,-0.542187,-1.390811
34150,1.5289131816649976e+18,1,0,0,0,-0.9744309999999999,2.080844,4.529128
34160,1.5289131818665697e+18,1,0,0,0,1.162441,-3.139307,-0.683571
34170,1.5289131820681413e+18,1,0,0,0,-2.574609,-3.5746089999999997,-2.954809
34180,1.5289131822697132e+18,1,0,0,0,2.274316,2.551202,0.600892
34190,1.528913182471285e+18,1,0,0,0,0.905442,-2.7478029999999998,0.17976
34200,1.5289131826728568e+18,1,0,0,0,-0.26726300000000003,0.536773,0.45617399999999997
34210,1.528913182874429e+18,1,0,0,0,-1.170284,-0.39816799999999997,-3.374453
34220,1.5289131830760005e+18,1,0,0,0,2.277445,-1.857659,2.5653639999999998
34230,1.5289131832775724e+18,1,0,0,0,-0.389709,-1.72097,-1.6841150000000005
34240,1.5289131834791442e+18,1,0,0,0,-0.36883699999999997,3.338569,1.7120279999999999
34250,1.528913183680716e+18,1,0,0,0,0.342534,2.066894,-1.513261
34260,1.528913183882288e+18,1,0,0,0,-1.424996,6.0891730000000015,4.5414959999999995
34270,1.5289131840838597e+18,1,0,0,0,-0.062696,-1.265142,-0.7656229999999999
34280,1.5289131842854316e+18,1,0,0,0,-2.032571,-3.348674,-2.540997
34290,1.5289131844870034e+18,1,0,0,0,1.9766299999999999,1.8262759999999998,1.538093
34300,1.5289131846885752e+18,1,0,0,0,0.648149,-3.5909760000000004,1.114897
34310,1.528913184890147e+18,1,0,0,0,-0.567537,1.125794,0.36489299999999997
34320,1.528913185091719e+18,1,0,0,0,-1.492632,-2.3144259999999997,-3.471578
34330,1.5289131852932908e+18,1,0,0,0,1.8993259999999998,-0.706125,1.302625
34340,1.5289131854948626e+18,1,0,0,0,-0.64791,-2.2545029999999997,-1.6779279999999999
34350,1.5289131856964344e+18,1,0,0,0,-1.503954,2.758637,2.25096
34360,1.5289131858980065e+18,1,0,0,0,-0.771683,1.3763969999999999,-1.848695
34370,1.528913186099578e+18,1,0,0,0,-0.8143699999999999,5.2359860000000005,6.869961
34380,1.52891318630115e+18,1,0,0,0,-0.262475,-0.24839899999999998,-0.364688
34390,1.5289131865027218e+18,1,0,0,0,-1.7668709999999999,-2.860224,-3.399193
34400,1.5289131867042936e+18,1,0,0,0,1.133517,0.791408,-0.213705
34410,1.5289131869058657e+18,1,0,0,0,0.8239799999999999,-4.03198,1.189959
34420,1.5289131871074373e+18,1,0,0,0,-0.420861,0.028707999999999997,0.8532569999999999
34430,1.5289131873090092e+18,1,0,0,0,-1.2615290000000001,-2.804045,-3.928129
34440,1.528913187510581e+18,1,0,0,0,1.7062869999999999,-1.681705,1.4702389999999999
34450,1.5289131877121528e+18,1,0,0,0,0.079072,-1.533298,-0.828384
34460,1.528913187913725e+18,1,0,0,0,-0.648764,3.789623,2.28169
34470,1.5289131881152965e+18,1,0,0,0,0.193853,0.755195,-1.284665
34480,1.5289131883168684e+18,1,0,0,0,-1.9312580000000001,3.4691389999999998,5.578167
34490,1.5289131885184402e+18,1,0,0,0,0.815394,-2.690467,-0.998014
34500,1.528913188720012e+18,1,0,0,0,-1.762832,0.295561,-2.995287
34510,1.528913188921584e+18,1,0,0,0,1.5845559999999999,1.363741,-0.22928099999999998
34520,1.5289131891231557e+18,1,0,0,0,0.988352,-4.77796,0.460054
34530,1.5289131893247276e+18,1,0,0,0,-0.44736000000000004,0.10248399999999999,0.309765
34540,1.5289131895262994e+18,1,0,0,0,-1.1149719999999999,1.307431,-3.4420580000000003
34550,1.5289131897278712e+18,1,0,0,0,2.06035,-0.26050100000000004,1.731929
34560,1.528913189929443e+18,1,0,0,0,-0.066603,-1.7474830000000001,-1.423206
34570,1.528913190131015e+18,1,0,0,0,-1.2371290000000001,2.998439,2.40072
34580,1.5289131903325868e+18,1,0,0,0,0.735571,1.4543549999999998,-1.156037
34590,1.5289131905341586e+18,1,0,0,0,-0.56788,4.383158,5.033025
34600,1.5289131907357304e+18,1,0,0,0,-0.035785000000000004,-1.218207,-2.301977
34610,1.5289131909373025e+18,1,0,0,0,-2.020498,-1.1380270000000001,-2.844728
34620,1.528913191138874e+18,1,0,0,0,2.0034490000000003,3.075513,0.14452
34630,1.528913191340446e+18,1,0,0,0,0.8542879999999999,-3.9952589999999994,0.583555
34640,1.5289131915420178e+18,1,0,0,0,-0.088336,2.609107,1.44669
34650,1.5289131917435896e+18,1,0,0,0,0.7634759999999999,0.8646484999999999,1.5613445000000001
34660,1.5289131919451617e+18,1,0,0,0,1.6152879999999998,-0.87981,1.6759990000000002
34670,1.5289131921467333e+18,1,0,0,0,-0.784629,-1.492959,-1.010979
34680,1.5289131923483052e+18,1,0,0,0,-1.014485,3.50961,2.303716
34690,1.528913192549877e+18,1,0,0,0,0.14144400000000001,-0.563503,-1.2641440000000002
34700,1.5289131927514488e+18,1,0,0,0,-0.10851400000000001,5.467339,6.832356
34710,1.528913192953021e+18,1,0,0,0,-0.084006,-1.0117690000000001,-1.4607709999999998
34720,1.5289131931545925e+18,1,0,0,0,-1.742071,0.974093,-3.1790580000000004
34730,1.5289131933561644e+18,1,0,0,0,2.098157,1.318375,-0.073818
34740,1.5289131935577362e+18,1,0,0,0,0.820068,-4.800626,0.704346
