,timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix).1,User Mark,timestamp
138,1528282415.432434,-0.108129,0.527352,-3.083475,-0.021981999999999998,-0.787812,-0.90175,-0.093257,-0.503247,-0.8590959999999999,0.03802,-0.020419,-0.116399,-17.725113,-13.845943,-18.755188,,,,,,,,1528282415.432434
139,1528282415.452591,-0.11224,0.530036,-3.1053040000000003,0.045236,-0.6726770000000001,-1.015931,-0.096636,-0.505564,-0.85736,-0.006986,0.106974,-0.006028,-17.601044,-14.416409,-18.420197,,,,,,,,1528282415.452591
140,1528282415.472748,-0.10870999999999999,0.53276,-3.130137,-0.027123,-0.293658,-1.073764,-0.093459,-0.5079130000000001,-0.856323,0.045837,0.068628,0.05139199999999999,-17.623901,-14.752384,-18.359741,,,,,,,,1528282415.472748
141,1528282415.492906,-0.09805900000000001,0.532417,3.12921,-0.173939,0.043122,-0.959791,-0.084351,-0.507617,-0.8574440000000001,0.065735,0.004123,0.057349000000000004,-17.597504,-14.779125,-18.092682,,,,,,,,1528282415.492906
142,1528282415.5130632,-0.083884,0.5299560000000001,3.109642,-0.203572,0.296,-0.7410140000000001,-0.072293,-0.5054960000000001,-0.8597950000000001,0.127881,-0.038556,0.050789,-17.277206,-15.469833,-18.357117000000002,,,,,,,,1528282415.5130632
143,1528282415.5332198,-0.069608,0.526468,3.0935490000000003,-0.249272,0.26613000000000003,-0.637496,-0.060134,-0.502483,-0.8624930000000001,0.13477999999999998,0.040599,0.035498,-16.636001999999998,-15.824379,-18.395386,,,,,,,,1528282415.5332198
144,1528282415.553377,-0.060888,0.5219060000000001,3.080159,-0.257413,-0.036081,-0.524269,-0.05275,-0.498533,-0.8652639999999999,0.12599200000000002,0.0074140000000000005,0.023986,-16.429245,-15.763496,-18.636414000000002,,,,,,,,1528282415.553377
145,1528282415.573534,-0.060555,0.518487,3.067198,-0.171654,-0.44893900000000003,-0.572109,-0.052564,-0.495567,-0.866978,0.08521799999999999,0.004936,-0.008953000000000001,-16.402451,-15.359364000000001,-18.673126,,,,,,,,1528282415.573534
146,1528282415.593692,-0.06613200000000001,0.517653,3.052882,-0.044689,-0.731282,-0.613522,-0.057426,-0.494842,-0.867083,0.055396,-0.009736,-0.013517,-16.42688,-15.97356,-18.503723,,,,,,,,1528282415.593692
147,1528282415.613849,-0.074026,0.519417,3.038549,0.08709700000000001,-0.7564930000000001,-0.596268,-0.064204,-0.496374,-0.8657309999999999,0.038707,0.000509,-0.013907,-16.415405,-15.955226999999999,-18.456329,,,,,,,,1528282415.613849
