,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,yaw,pitch,roll
1090,1.5289125152684946e+18,1,0,0,0,-2.130218,-1.343947,0.400181
1100,1.5289125154700664e+18,1,0,0,0,-0.30440500000000004,-1.261213,2.25197
1110,1.5289125156716385e+18,1,0,0,0,0.9276530000000001,-1.412184,-2.632459
1120,1.52891251587321e+18,1,0,0,0,-1.572397,-1.202292,1.1619190000000001
1130,1.528912516074782e+18,1,0,0,0,-1.9996029999999998,-1.291575,0.518157
1140,1.5289125162763538e+18,1,0,0,0,0.380179,-1.29033,3.102768
1150,1.5289125164779256e+18,1,0,0,0,1.405525,-1.4506290000000002,-2.156081
1160,1.5289125166794977e+18,1,0,0,0,-1.718805,-1.237541,0.982043
1170,1.5289125168810693e+18,1,0,0,0,-1.409074,-1.217328,1.168661
1180,1.5289125170826412e+18,1,0,0,0,0.5906859999999999,-1.2423950000000001,-2.986298
1190,1.528912517284213e+18,1,0,0,0,-1.315647,-1.311568,1.553381
1200,1.5289125174857848e+18,1,0,0,0,-1.028743,-1.2718610000000001,1.778031
1210,1.528912517687357e+18,1,0,0,0,-0.741839,-1.2321540000000002,2.002681
1220,1.5289125178889285e+18,1,0,0,0,0.905644,-1.283009,-2.635574
1230,1.5289125180905004e+18,1,0,0,0,-1.397508,-1.2328940000000002,1.531264
1240,1.5289125182920722e+18,1,0,0,0,-1.92822,-1.330084,0.6281909999999999
1250,1.528912518493644e+18,1,0,0,0,-0.4137219999999999,-1.326651,-0.8485419999999999
1260,1.528912518695216e+18,1,0,0,0,1.100776,-1.323218,-2.325275
1270,1.5289125188967877e+18,1,0,0,0,-1.527017,-1.2221790000000001,1.34511
1280,1.5289125190983596e+18,1,0,0,0,-1.868542,-1.3736389999999998,0.8351049999999999
1290,1.5289125192999314e+18,1,0,0,0,0.425655,-1.282848,-2.931266
1300,1.5289125195015032e+18,1,0,0,0,1.0773620000000002,-1.468024,-2.365723
1310,1.528912519703075e+18,1,0,0,0,-1.679499,-1.2038389999999999,1.153235
1320,1.528912519904647e+18,1,0,0,0,-1.8098169999999998,-1.304254,1.0835549999999998
1330,1.5289125201062188e+18,1,0,0,0,0.493922,-1.224501,-2.883829
1340,1.5289125203077906e+18,1,0,0,0,-1.540093,-1.450494,1.540273
1350,1.5289125205093624e+18,1,0,0,0,-1.862709,-1.233687,1.122209
1360,1.5289125207109345e+18,1,0,0,0,-1.397986,-1.216292,1.737612
1370,1.528912520912506e+18,1,0,0,0,0.341806,-1.247318,-2.723579
1380,1.528912521114078e+18,1,0,0,0,-1.877466,-1.2517120000000002,1.575719
1390,1.5289125213156498e+18,1,0,0,0,-2.3502549999999998,-1.278194,0.829578
1400,1.5289125215172216e+18,1,0,0,0,-1.804672,-1.387969,1.4624549999999998
1410,1.5289125217187937e+18,1,0,0,0,0.849297,-1.355068,-2.2088970000000003
1420,1.5289125219203653e+18,1,0,0,0,-1.9820970000000002,-1.2924200000000001,1.3513979999999999
1430,1.5289125221219372e+18,1,0,0,0,-2.248231,-1.262918,0.5648380000000001
1440,1.528912522323509e+18,1,0,0,0,-0.703102,-1.400087,2.067628
1450,1.5289125225250808e+18,1,0,0,0,1.253734,-1.378342,-2.107023
1460,1.528912522726653e+18,1,0,0,0,-1.6044209999999999,-1.265198,1.3708200000000001
1470,1.5289125229282245e+18,1,0,0,0,-2.2789599999999997,-1.3546200000000002,0.377242
1480,1.5289125231297964e+18,1,0,0,0,0.168972,-1.359215,2.900807
1490,1.5289125233313682e+18,1,0,0,0,1.333382,-1.4034739999999999,-2.12188
1500,1.52891252353294e+18,1,0,0,0,-1.527784,-1.15363,1.229633
1510,1.528912523734512e+18,1,0,0,0,-1.9476810000000002,-1.349855,0.802944
1520,1.5289125239360837e+18,1,0,0,0,0.594155,-1.32796,-2.984499
1530,1.5289125241376556e+18,1,0,0,0,1.8453099999999998,-1.44567,-1.778791
1540,1.5289125243392274e+18,1,0,0,0,-1.695073,-1.2233180000000001,0.9944850000000001
1550,1.5289125245407992e+18,1,0,0,0,-1.7514040000000002,-1.298551,1.1049639999999998
1560,1.528912524742371e+18,1,0,0,0,0.9942350000000001,-1.300009,-2.6388700000000003
1570,1.528912524943943e+18,1,0,0,0,-1.6802110000000001,-1.2893430000000001,0.932481
1580,1.5289125251455148e+18,1,0,0,0,-1.6939520000000001,-1.172733,0.620379
1590,1.5289125253470866e+18,1,0,0,0,-1.343876,-1.231142,1.1888809999999999
1600,1.5289125255486584e+18,1,0,0,0,1.5137040000000002,-1.3447770000000001,-2.424244
1610,1.5289125257502305e+18,1,0,0,0,-1.2574889999999999,-1.2744790000000001,1.252218
1620,1.528912525951802e+18,1,0,0,0,-1.499637,-1.216392,0.506483
1630,1.528912526153374e+18,1,0,0,0,-0.9579850000000001,-1.346294,1.224302
1640,1.5289125263549458e+18,1,0,0,0,2.111046,-1.338424,-2.240036
1650,1.5289125265565176e+18,1,0,0,0,-0.790838,-1.183386,1.18634
1660,1.5289125267580897e+18,1,0,0,0,-1.361381,-1.287967,0.24959800000000001
1670,1.5289125269596613e+18,1,0,0,0,-0.511753,-1.418482,1.158121
1680,1.5289125271612332e+18,1,0,0,0,2.629566,-1.321132,-2.081889
1690,1.528912527362805e+18,1,0,0,0,-0.28613099999999997,-1.172942,1.295618
1700,1.5289125275643768e+18,1,0,0,0,-0.8467709999999999,-1.321901,0.416308
1710,1.528912527765949e+18,1,0,0,0,1.485154,-1.391442,2.80452
1720,1.5289125279675205e+18,1,0,0,0,2.7338400000000003,-1.403676,-2.203807
1730,1.5289125281690924e+18,1,0,0,0,-0.154845,-1.116709,1.123311
1740,1.5289125283706642e+18,1,0,0,0,-0.291236,-1.2474,0.706862
1750,1.528912528572236e+18,1,0,0,0,1.503806,-1.322172,2.611106
1760,1.528912528773808e+18,1,0,0,0,1.5619319999999999,-1.5153290000000001,2.810902
1770,1.5289125289753797e+18,1,0,0,0,0.024871,-1.120696,1.194117
1780,1.5289125291769516e+18,1,0,0,0,-0.058917,-1.385566,0.938716
1790,1.5289125293785234e+18,1,0,0,0,2.0661080000000003,-1.2791,-3.031419
1800,1.5289125295800952e+18,1,0,0,0,1.8706169999999998,-1.549313,3.140687
1810,1.528912529781667e+18,1,0,0,0,-0.040449,-1.2105629999999998,1.112228
